date,direction,type,url,status,method,mimeType,encodedDataLength,remoteIPAddress,protocol
5:47:46 PM,request,Document,https://claude.ai/new,,GET,,,,
5:47:46 PM,response,Document,https://claude.ai/new,200,,text/html,3478,160.79.104.10,h3
5:47:46 PM,request,Font,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/cc27851ad-CFxw3nG7.woff2,,GET,,,,
5:47:46 PM,request,Font,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c66fc489e-C-BHYa_K.woff2,,GET,,,,
5:47:46 PM,request,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/index-Bb7FS3zD.js,,GET,,,,
5:47:46 PM,request,Stylesheet,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c6a992d55-BFo4uILy.css,,GET,,,,
5:47:46 PM,request,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/vendor-DYTAmuDf.js,,GET,,,,
5:47:46 PM,request,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/tree-sitter-D9YzSMCO.js,,GET,,,,
5:47:46 PM,request,Manifest,https://claude.ai/manifest.json,,GET,,,,
5:47:47 PM,response,Stylesheet,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c6a992d55-BFo4uILy.css,200,,text/css,881,160.79.104.10,h3
5:47:47 PM,response,Manifest,https://claude.ai/manifest.json,200,,application/json,1372,160.79.104.10,h3
5:47:47 PM,response,Font,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/cc27851ad-CFxw3nG7.woff2,200,,font/woff2,897,160.79.104.10,h3
5:47:47 PM,response,Font,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c66fc489e-C-BHYa_K.woff2,200,,font/woff2,898,160.79.104.10,h3
5:47:47 PM,response,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/tree-sitter-D9YzSMCO.js,200,,text/javascript,890,160.79.104.10,h3
5:47:47 PM,response,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/vendor-DYTAmuDf.js,200,,text/javascript,922,160.79.104.10,h3
5:47:47 PM,response,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/index-Bb7FS3zD.js,200,,text/javascript,886,160.79.104.10,h3
5:47:47 PM,request,Fetch,https://claude.ai/edge-api/bootstrap?statsig_hashing_algorithm=djb2&growthbook_format=sdk&include_system_prompts=false,,GET,,,,
5:47:47 PM,request,Script,https://claude.ai/cdn-cgi/challenge-platform/scripts/jsd/main.js,,GET,,,,
5:47:47 PM,request,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/cf0bcab69-Bh9Q-YfE.js,,GET,,,,
5:47:47 PM,request,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/cce790aee-FhYCTnyY.js,,GET,,,,
5:47:47 PM,request,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c7a51f85b-CkchBZ-2.js,,GET,,,,
5:47:47 PM,request,Fetch,https://a-cdn.anthropic.com/v1/projects/LKJN8LsLERHEOXkw487o7qCTFOrGPimI/settings,,GET,,,,
5:47:47 PM,response,Fetch,https://claude.ai/edge-api/bootstrap?statsig_hashing_algorithm=djb2&growthbook_format=sdk&include_system_prompts=false,200,,application/json,253,160.79.104.10,h3
5:47:47 PM,request,Script,https://claude.ai/cdn-cgi/challenge-platform/h/g/scripts/jsd/b0a7532ac8ec/main.js?,,GET,,,,
5:47:47 PM,response,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/cce790aee-FhYCTnyY.js,200,,text/javascript,901,160.79.104.10,h3
5:47:47 PM,response,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/cf0bcab69-Bh9Q-YfE.js,200,,text/javascript,890,160.79.104.10,h3
5:47:47 PM,response,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c7a51f85b-CkchBZ-2.js,200,,text/javascript,891,160.79.104.10,h3
5:47:47 PM,request,Fetch,https://claude.ai/i18n/en-US.json,,GET,,,,
5:47:47 PM,request,Fetch,https://claude.ai/i18n/statsig/en-US.json,,GET,,,,
5:47:47 PM,request,Fetch,https://api.anthropic.com/mcp-registry/v0/servers?version=latest&limit=100,,GET,,,,
5:47:47 PM,request,Fetch,https://claude.ai/api/account_profile,,GET,,,,
5:47:47 PM,request,Other,https://a-cdn.anthropic.com/v1/projects/LKJN8LsLERHEOXkw487o7qCTFOrGPimI/settings,,OPTIONS,,,,
5:47:47 PM,request,Other,https://claude.ai/favicon.ico,,GET,,,,
5:47:47 PM,response,Script,https://claude.ai/cdn-cgi/challenge-platform/h/g/scripts/jsd/b0a7532ac8ec/main.js?,200,,application/javascript,239,160.79.104.10,h3
5:47:47 PM,request,Other,https://api.anthropic.com/mcp-registry/v0/servers?version=latest&limit=100,,OPTIONS,,,,
5:47:48 PM,response,Preflight,https://api.anthropic.com/mcp-registry/v0/servers?version=latest&limit=100,204,,,469,160.79.104.10,h2
5:47:49 PM,response,Preflight,https://a-cdn.anthropic.com/v1/projects/LKJN8LsLERHEOXkw487o7qCTFOrGPimI/settings,200,,,458,34.36.57.103,h2
5:47:49 PM,request,XHR,https://claude.ai/cdn-cgi/challenge-platform/h/g/jsd/oneshot/b0a7532ac8ec/0.24910823055520082:1776114740:QSd4x7wBb_ea1-yheX15R9boYddl0Y9hwXePTNK1JMQ/9ebdabd18d748574,,POST,,,,
5:47:49 PM,request,Other,https://claude.ai/images/icon-512x512.png,,GET,,,,
5:47:49 PM,response,Fetch,https://claude.ai/i18n/statsig/en-US.json,200,,application/json,1008,160.79.104.10,h3
5:47:49 PM,response,Fetch,https://claude.ai/i18n/en-US.json,200,,application/json,1008,160.79.104.10,h3
5:47:49 PM,request,Document,https://a.claude.ai/isolated-segment.html?v=77a924bc70,,GET,,,,
5:47:49 PM,request,Script,https://s-cdn.anthropic.com/s.js,,GET,,,,
5:47:49 PM,request,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c632c9594-BWBSrZH1.js,,GET,,,,
5:47:49 PM,request,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/ce2a6f899-CZjzNkWF.js,,GET,,,,
5:47:49 PM,request,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c8f5e99bb-C1_2SXc7.js,,GET,,,,
5:47:49 PM,request,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c6a9356e8-Bgs0Rl-6.js,,GET,,,,
5:47:49 PM,request,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c4a0394fd-kFWr0QFe.js,,GET,,,,
5:47:49 PM,request,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c029a409d-DO-O5Mrx.js,,GET,,,,
5:47:49 PM,request,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/cc2c30812-BbkcrBQp.js,,GET,,,,
5:47:49 PM,request,Stylesheet,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/cc2c30812-FWJX77zY.css,,GET,,,,
5:47:49 PM,request,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/cfb7143a4-Dc85Um9s.js,,GET,,,,
5:47:49 PM,request,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c19e49841-Rpjlsng5.js,,GET,,,,
5:47:49 PM,request,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/cb53cddab-BlzCpDe1.js,,GET,,,,
5:47:49 PM,request,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c8901fcbe-D-QZbFrU.js,,GET,,,,
5:47:49 PM,request,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c0b6b321b-DIAjNB0g.js,,GET,,,,
5:47:49 PM,request,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c4ba74563-WRmShnKG.js,,GET,,,,
5:47:49 PM,request,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c1af03898-Q-HVwAW7.js,,GET,,,,
5:47:49 PM,request,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c3a41fcbb-aKiK1V8B.js,,GET,,,,
5:47:49 PM,request,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c81dd7232-aQDoePe1.js,,GET,,,,
5:47:49 PM,request,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c56e0b5dd-Dzw4m7LR.js,,GET,,,,
5:47:49 PM,request,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/cded40f2a-Dlvfy80l.js,,GET,,,,
5:47:49 PM,request,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c05c5ea16-BggyUDjQ.js,,GET,,,,
5:47:49 PM,request,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c1306152d-ibtnrGKB.js,,GET,,,,
5:47:49 PM,request,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/cbc4150d0-DwHsc54t.js,,GET,,,,
5:47:49 PM,request,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/cfcbb3627-Br9jwBeD.js,,GET,,,,
5:47:49 PM,request,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c7b83d3f0-BpVN2nt_.js,,GET,,,,
5:47:49 PM,request,Stylesheet,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/cfcbb3627-CE4NsOix.css,,GET,,,,
5:47:49 PM,request,Stylesheet,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/cbc4150d0-C5vT29Ee.css,,GET,,,,
5:47:49 PM,request,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c2b5b5d37-upZJhW-x.js,,GET,,,,
5:47:49 PM,request,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c6c2bd063-EWG59wR9.js,,GET,,,,
5:47:49 PM,response,Other,https://claude.ai/images/icon-512x512.png,200,,image/png,1006,160.79.104.10,h3
5:47:49 PM,response,Fetch,https://claude.ai/api/account_profile,403,,application/json,281,160.79.104.10,h3
5:47:49 PM,response,Other,https://claude.ai/favicon.ico,200,,image/vnd.microsoft.icon,1027,160.79.104.10,h3
5:47:49 PM,response,Fetch,https://api.anthropic.com/mcp-registry/v0/servers?version=latest&limit=100,200,,application/json,277,160.79.104.10,h2
5:47:49 PM,response,Fetch,https://a-cdn.anthropic.com/v1/projects/LKJN8LsLERHEOXkw487o7qCTFOrGPimI/settings,200,,application/json,379,34.36.57.103,h2
5:47:49 PM,request,Fetch,https://browser-intake-us5-datadoghq.com/api/v2/rum?ddsource=browser&dd-api-key=pub71869dceb5b70dba6123af9ca357d1f9&dd-evp-origin-version=6.31.0&dd-evp-origin=browser&dd-request-id=2565291e-d3b4-4b9c-a18c-6686cc32921e&batch_time=1776116869824&_dd.api=fetch,,POST,,,,
5:47:49 PM,request,Script,https://widget.intercom.io/widget/lupk8zyo,,GET,,,,
5:47:49 PM,response,XHR,https://claude.ai/cdn-cgi/challenge-platform/h/g/jsd/oneshot/b0a7532ac8ec/0.24910823055520082:1776114740:QSd4x7wBb_ea1-yheX15R9boYddl0Y9hwXePTNK1JMQ/9ebdabd18d748574,200,,text/plain,639,160.79.104.10,h3
5:47:49 PM,request,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c6a992d55-BQI_lUKH.js,,GET,,,,
5:47:49 PM,request,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/cc188f2db-CTGFxau4.js,,GET,,,,
5:47:49 PM,response,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c8f5e99bb-C1_2SXc7.js,200,,text/javascript,890,160.79.104.10,h3
5:47:49 PM,response,Stylesheet,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/cc2c30812-FWJX77zY.css,200,,text/css,874,160.79.104.10,h3
5:47:49 PM,response,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/ce2a6f899-CZjzNkWF.js,200,,text/javascript,894,160.79.104.10,h3
5:47:49 PM,response,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c029a409d-DO-O5Mrx.js,200,,text/javascript,898,160.79.104.10,h3
5:47:49 PM,response,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/cc2c30812-BbkcrBQp.js,200,,text/javascript,893,160.79.104.10,h3
5:47:49 PM,response,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c4a0394fd-kFWr0QFe.js,200,,text/javascript,887,160.79.104.10,h3
5:47:49 PM,response,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c19e49841-Rpjlsng5.js,200,,text/javascript,890,160.79.104.10,h3
5:47:49 PM,response,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c8901fcbe-D-QZbFrU.js,200,,text/javascript,888,160.79.104.10,h3
5:47:49 PM,response,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c0b6b321b-DIAjNB0g.js,200,,text/javascript,886,160.79.104.10,h3
5:47:49 PM,response,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/cb53cddab-BlzCpDe1.js,200,,text/javascript,888,160.79.104.10,h3
5:47:49 PM,response,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/cfb7143a4-Dc85Um9s.js,200,,text/javascript,896,160.79.104.10,h3
5:47:49 PM,response,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c3a41fcbb-aKiK1V8B.js,200,,text/javascript,891,160.79.104.10,h3
5:47:49 PM,response,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c81dd7232-aQDoePe1.js,200,,text/javascript,884,160.79.104.10,h3
5:47:49 PM,response,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c4ba74563-WRmShnKG.js,200,,text/javascript,886,160.79.104.10,h3
5:47:49 PM,response,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/cded40f2a-Dlvfy80l.js,200,,text/javascript,891,160.79.104.10,h3
5:47:49 PM,response,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c6a9356e8-Bgs0Rl-6.js,200,,text/javascript,885,160.79.104.10,h3
5:47:49 PM,response,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c05c5ea16-BggyUDjQ.js,200,,text/javascript,893,160.79.104.10,h3
5:47:49 PM,response,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c1af03898-Q-HVwAW7.js,200,,text/javascript,896,160.79.104.10,h3
5:47:49 PM,response,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c56e0b5dd-Dzw4m7LR.js,200,,text/javascript,884,160.79.104.10,h3
5:47:49 PM,request,Fetch,https://browser-intake-us5-datadoghq.com/api/v2/rum?ddsource=browser&dd-api-key=pub71869dceb5b70dba6123af9ca357d1f9&dd-evp-origin-version=6.31.0&dd-evp-origin=browser&dd-request-id=de5e8338-e090-4a25-941b-c2314ecea679&batch_time=1776116869855&_dd.api=fetch,,POST,,,,
5:47:49 PM,request,Fetch,https://browser-intake-us5-datadoghq.com/api/v2/rum?ddsource=browser&dd-api-key=pub71869dceb5b70dba6123af9ca357d1f9&dd-evp-origin-version=6.31.0&dd-evp-origin=browser&dd-request-id=de768a2b-21b2-4795-b510-58bebe15385d&batch_time=1776116869856&_dd.api=fetch,,POST,,,,
5:47:49 PM,response,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c6c2bd063-EWG59wR9.js,200,,text/javascript,892,160.79.104.10,h3
5:47:49 PM,response,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c632c9594-BWBSrZH1.js,200,,text/javascript,892,160.79.104.10,h3
5:47:49 PM,request,Fetch,https://browser-intake-us5-datadoghq.com/api/v2/rum?ddsource=browser&dd-api-key=pub71869dceb5b70dba6123af9ca357d1f9&dd-evp-origin-version=6.31.0&dd-evp-origin=browser&dd-request-id=f33a364a-228e-4afd-ac25-9a857c0e6745&batch_time=1776116869872&_dd.api=fetch,,POST,,,,
5:47:49 PM,response,Stylesheet,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/cfcbb3627-CE4NsOix.css,200,,text/css,882,160.79.104.10,h3
5:47:49 PM,response,Stylesheet,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/cbc4150d0-C5vT29Ee.css,200,,text/css,883,160.79.104.10,h3
5:47:49 PM,response,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c2b5b5d37-upZJhW-x.js,200,,text/javascript,899,160.79.104.10,h3
5:47:49 PM,response,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c7b83d3f0-BpVN2nt_.js,200,,text/javascript,891,160.79.104.10,h3
5:47:49 PM,response,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c1306152d-ibtnrGKB.js,200,,text/javascript,888,160.79.104.10,h3
5:47:49 PM,response,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/cbc4150d0-DwHsc54t.js,200,,text/javascript,886,160.79.104.10,h3
5:47:49 PM,response,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/cfcbb3627-Br9jwBeD.js,200,,text/javascript,896,160.79.104.10,h3
5:47:49 PM,response,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/cc188f2db-CTGFxau4.js,200,,text/javascript,899,160.79.104.10,h3
5:47:49 PM,response,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c6a992d55-BQI_lUKH.js,200,,text/javascript,886,160.79.104.10,h3
5:47:49 PM,request,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c6a992d55-DxQfZvh_.js,,GET,,,,
5:47:49 PM,request,Other,https://claude.ai/favicon.ico,,GET,,,,
5:47:49 PM,response,Script,https://assets-proxy.anthropic.com/claude-ai/v2/assets/v1/c6a992d55-DxQfZvh_.js,200,,text/javascript,886,160.79.104.10,h3
5:47:49 PM,request,Script,https://a-cdn.anthropic.com/next-integrations/actions/amplitude-plugins/f12a4347e1080fb88155.js,,GET,,,,
5:47:49 PM,response,Document,https://a.claude.ai/isolated-segment.html?v=77a924bc70,200,,text/html,664,160.79.104.10,h3
5:47:49 PM,response,Script,https://s-cdn.anthropic.com/s.js,200,,text/javascript,505,34.54.194.141,h2
5:47:49 PM,response,Script,https://widget.intercom.io/widget/lupk8zyo,200,,application/javascript,538,13.32.241.22,h2
5:47:49 PM,response,Other,https://claude.ai/favicon.ico,200,,image/vnd.microsoft.icon,1017,160.79.104.10,h3
5:47:50 PM,request,Script,https://js.intercomcdn.com/frame-modern.2b123462.js,,GET,,,,
5:47:50 PM,request,Script,https://js.intercomcdn.com/vendor-modern.df860bed.js,,GET,,,,
5:47:50 PM,response,Script,https://a-cdn.anthropic.com/next-integrations/actions/amplitude-plugins/f12a4347e1080fb88155.js,200,,text/javascript,26,34.36.57.103,h3
5:47:50 PM,request,Script,https://a-cdn.anthropic.com/next-integrations/actions/3962/1faa179dfb20d0a3f5a0.js,,GET,,,,
5:47:50 PM,request,Script,https://a-cdn.anthropic.com/analytics.js/v1/LKJN8LsLERHEOXkw487o7qCTFOrGPimI/analytics.min.js,,GET,,,,
5:47:50 PM,response,Fetch,https://browser-intake-us5-datadoghq.com/api/v2/rum?ddsource=browser&dd-api-key=pub71869dceb5b70dba6123af9ca357d1f9&dd-evp-origin-version=6.31.0&dd-evp-origin=browser&dd-request-id=2565291e-d3b4-4b9c-a18c-6686cc32921e&batch_time=1776116869824&_dd.api=fetch,202,,application/json,225,34.149.66.154,h2
5:47:50 PM,response,Fetch,https://browser-intake-us5-datadoghq.com/api/v2/rum?ddsource=browser&dd-api-key=pub71869dceb5b70dba6123af9ca357d1f9&dd-evp-origin-version=6.31.0&dd-evp-origin=browser&dd-request-id=de5e8338-e090-4a25-941b-c2314ecea679&batch_time=1776116869855&_dd.api=fetch,202,,application/json,51,34.149.66.154,h2
5:47:50 PM,response,Fetch,https://browser-intake-us5-datadoghq.com/api/v2/rum?ddsource=browser&dd-api-key=pub71869dceb5b70dba6123af9ca357d1f9&dd-evp-origin-version=6.31.0&dd-evp-origin=browser&dd-request-id=f33a364a-228e-4afd-ac25-9a857c0e6745&batch_time=1776116869872&_dd.api=fetch,202,,application/json,50,34.149.66.154,h2
5:47:50 PM,response,Script,https://a-cdn.anthropic.com/analytics.js/v1/LKJN8LsLERHEOXkw487o7qCTFOrGPimI/analytics.min.js,200,,text/javascript,28,34.36.57.103,h3
5:47:50 PM,response,Script,https://a-cdn.anthropic.com/next-integrations/actions/3962/1faa179dfb20d0a3f5a0.js,200,,text/javascript,26,34.36.57.103,h3
5:47:50 PM,response,Fetch,https://browser-intake-us5-datadoghq.com/api/v2/rum?ddsource=browser&dd-api-key=pub71869dceb5b70dba6123af9ca357d1f9&dd-evp-origin-version=6.31.0&dd-evp-origin=browser&dd-request-id=de768a2b-21b2-4795-b510-58bebe15385d&batch_time=1776116869856&_dd.api=fetch,202,,application/json,50,34.149.66.154,h2
5:47:50 PM,request,Fetch,https://a-cdn.anthropic.com/v1/projects/LKJN8LsLERHEOXkw487o7qCTFOrGPimI/settings,,GET,,,,
5:47:50 PM,response,Fetch,https://a-cdn.anthropic.com/v1/projects/LKJN8LsLERHEOXkw487o7qCTFOrGPimI/settings,200,,application/json,0,34.36.57.103,h2
5:47:50 PM,request,Script,https://a-cdn.anthropic.com/analytics-next/bundles/ajs-destination.bundle.8e6b895db75187c55313.js,,GET,,,,
